,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,09/11/2022,1:00PM ET,boxscore,T,OT,0-0-1,,Indianapolis Colts,20,20,20,299,222,77,1,33,517,340,177,2,-2.14,-5.67,9.43
2,Sun,09/18/2022,4:25PM ET,boxscore,L,,0-1-1,@,Denver Broncos,9,16,15,234,154,80,0,20,350,201,149,1,-12.19,-3.38,5.2
3,Sun,09/25/2022,1:00PM ET,boxscore,L,,0-2-1,@,Chicago Bears,20,23,17,329,237,92,2,17,363,82,281,2,-1.75,-2.69,1.18
