,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,09/13/2009,1:03PM ET,boxscore,L,,0-1,,New York Jets,7,24,11,183,145,38,2,22,462,272,190,1,-13.86,-7.63,1.83
2,Sun,09/20/2009,1:03PM ET,boxscore,W,,01-Jan,@,Tennessee Titans,34,31,19,420,357,63,0,19,449,209,240,2,12.65,-9.39,2.27
3,Sun,09/27/2009,1:03PM ET,boxscore,L,,02-Jan,,Jacksonville Jaguars,24,31,23,397,286,111,2,24,399,214,185,1,11.1,-18.25,0.07
4,Sun,10/04/2009,1:02PM ET,boxscore,W,,02-Feb,,Oakland Raiders,29,6,16,329,209,120,2,8,165,120,45,3,-8.89,28.31,4
5,Sun,10/11/2009,4:15PM ET,boxscore,L,,03-Feb,@,Arizona Cardinals,21,28,23,416,371,45,1,19,340,296,44,1,-1.18,-1.92,-2.21
6,Sun,10/18/2009,1:02PM ET,boxscore,W,,03-Mar,@,Cincinnati Bengals,28,17,26,472,385,87,2,14,296,250,46,3,11.1,5.99,-6.98
7,Sun,10/25/2009,1:04PM ET,boxscore,W,,03-Apr,,San Francisco 49ers,24,21,18,336,246,90,1,17,297,238,59,2,4.99,-4.73,2.61
8,Sun,11/01/2009,1:02PM ET,boxscore,W,,03-May,@,Buffalo Bills,31,10,24,439,257,182,3,9,204,107,97,2,10.39,13.03,-5.28
9,Sun,11/08/2009,1:02PM ET,boxscore,L,,04-May,@,Indianapolis Colts,17,20,22,382,301,81,3,27,378,306,72,2,2.57,-5.34,0.77
10,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
11,Mon,11/23/2009,8:40PM ET,boxscore,L,,05-May,,Tennessee Titans,17,20,17,340,283,57,0,22,344,116,228,1,6.75,-6.54,-2.4
12,Sun,11/29/2009,1:02PM ET,boxscore,L,,06-May,,Indianapolis Colts,27,35,27,396,274,122,3,28,342,228,114,2,6.42,-17.14,1.34
13,Sun,12/06/2009,1:03PM ET,boxscore,L,,07-May,@,Jacksonville Jaguars,18,23,19,305,233,72,3,19,323,216,107,1,-7.36,-2.86,4.63
14,Sun,12/13/2009,1:02PM ET,boxscore,W,,07-Jun,,Seattle Seahawks,34,7,23,450,365,85,2,13,282,220,62,1,7.58,26.59,-6
15,Sun,12/20/2009,1:00PM ET,boxscore,W,,07-Jul,@,St. Louis Rams,16,13,22,419,367,52,2,15,237,149,88,2,6.15,4.65,-8.04
16,Sun,12/27/2009,1:02PM ET,boxscore,W,,07-Aug,@,Miami Dolphins,27,20,21,406,280,126,1,23,363,303,60,1,9.94,-3.24,5.32
17,Sun,01/03/2009,1:02PM ET,boxscore,W,,07-Sep,,New England Patriots,34,27,29,439,295,144,1,21,317,243,74,2,12.27,1.26,-4.15
