,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,09/11/2016,1:05PM ET,boxscore,W,,Jan-00,,Chicago Bears,23,14,17,344,215,129,1,14,258,185,73,1,0.61,8.94,1.42
2,Sun,09/18/2016,1:02PM ET,boxscore,W,,Feb-00,,Kansas City Chiefs,19,12,15,351,254,97,2,14,291,172,119,3,-9.46,22.62,-7.45
3,Thu,09/22/2016,8:26PM ET,boxscore,L,,01-Feb,@,New England Patriots,0,27,19,284,175,109,3,15,282,97,185,0,-14.6,-1.19,-10.11
4,Sun,10/02/2016,1:02PM ET,boxscore,W,,01-Mar,,Tennessee Titans,27,20,21,359,244,115,2,16,320,196,124,1,3.59,1.88,-0.39
5,Sun,10/09/2016,1:05PM ET,boxscore,L,,02-Mar,@,Minnesota Vikings,13,31,16,214,155,59,1,22,351,255,96,0,-5.63,-11.38,-3.21
6,Sun,10/16/2016,8:32PM ET,boxscore,W,OT,02-Apr,,Indianapolis Colts,26,23,26,414,256,158,1,19,392,231,161,1,9.63,-2.34,-5.89
7,Mon,10/24/2016,8:30PM ET,boxscore,L,,03-Apr,@,Denver Broncos,9,27,14,271,131,140,2,19,347,157,190,0,-16.57,-5.96,2.39
8,Sun,10/30/2016,1:03PM ET,boxscore,W,,03-May,,Detroit Lions,20,13,20,269,164,105,1,19,289,231,58,0,1.76,-0.37,5.34
9,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
10,Sun,11/13/2016,1:00PM ET,boxscore,W,,03-Jun,@,Jacksonville Jaguars,24,21,16,273,92,181,0,23,327,247,80,2,-0.38,0.96,-0.61
11,Mon,11/21/2016,8:30PM ET,boxscore,L,,04-Jun,@,Oakland Raiders,20,27,22,354,230,124,2,16,325,295,30,1,5.77,-12.48,-4.89
12,Sun,11/27/2016,1:00PM ET,boxscore,L,,05-Jun,,San Diego Chargers,13,21,22,353,239,114,4,18,302,235,67,1,-6.62,-5.09,5.23
13,Sun,12/04/2016,1:00PM ET,boxscore,L,,06-Jun,@,Green Bay Packers,13,21,17,307,184,123,1,16,309,200,109,1,-1.4,-2.55,-5.51
14,Sun,12/11/2016,1:00PM ET,boxscore,W,,06-Jul,@,Indianapolis Colts,22,17,20,316,131,185,1,21,348,265,83,3,-1.32,-0.99,6.94
15,Sun,12/18/2016,1:00PM ET,boxscore,W,,06-Aug,,Jacksonville Jaguars,21,20,23,387,308,79,2,9,150,83,67,1,-6.2,17.26,-6.51
16,Sat,12/24/2016,8:25PM ET,boxscore,W,,06-Sep,,Cincinnati Bengals,12,10,17,250,155,95,0,15,294,244,50,1,-2.83,2.21,3.69
17,Sun,01/01/2016,1:00PM ET,boxscore,L,,07-Sep,@,Tennessee Titans,17,24,20,289,243,46,1,16,236,133,103,1,-3.2,1.91,-8.94
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sat,01/07/2016,4:35PM ET,boxscore,W,,07-Oct,,Oakland Raiders,27,14,19,291,168,123,0,16,203,139,64,3,-4.02,21.48,-2.85
Division,Sat,01/14/2016,8:15PM ET,boxscore,L,,08-Oct,@,New England Patriots,16,34,14,285,180,105,3,20,377,279,98,3,-20.16,-2.26,2.22
