,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,09/12/2010,1:02PM ET,boxscore,W,,Jan-00,,Indianapolis Colts,34,24,23,355,98,257,1,25,463,419,44,1,17.43,-16.62,10.28
2,Sun,09/19/2010,4:15PM ET,boxscore,W,OT,Feb-00,@,Washington Redskins,30,27,29,526,468,58,1,21,421,403,18,0,21.02,-14.04,-0.62
3,Sun,09/26/2010,1:02PM ET,boxscore,L,,01-Feb,,Dallas Cowboys,13,27,24,340,216,124,3,21,385,284,101,0,2.66,-14.61,-2.64
4,Sun,10/03/2010,4:05PM ET,boxscore,W,,01-Mar,@,Oakland Raiders,31,24,21,441,192,249,0,24,363,245,118,3,17.32,-2.09,-4.55
5,Sun,10/10/2010,1:03PM ET,boxscore,L,,02-Mar,,New York Giants,10,34,11,195,171,24,2,26,414,297,117,2,-17.85,-6.57,-1.65
6,Sun,10/17/2010,1:03PM ET,boxscore,W,,02-Apr,,Kansas City Chiefs,35,31,23,421,289,132,0,25,417,189,228,0,24.02,-21.9,1.12
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Mon,11/01/2010,8:41PM ET,boxscore,L,,03-Apr,@,Indianapolis Colts,17,30,19,291,183,108,2,24,366,259,107,0,-6.68,-7.36,3.11
9,Sun,11/07/2010,1:02PM ET,boxscore,L,,04-Apr,,San Diego Chargers,23,29,25,392,252,140,1,18,367,290,77,2,6.4,-12.05,2.48
10,Sun,11/14/2010,1:04PM ET,boxscore,L,,05-Apr,@,Jacksonville Jaguars,24,31,20,395,314,81,1,29,491,326,165,0,13.34,-24.68,4.02
11,Sun,11/21/2010,1:03PM ET,boxscore,L,,06-Apr,@,New York Jets,27,30,17,343,246,97,1,22,401,298,103,2,2.06,-3.16,-1.75
12,Sun,11/28/2010,1:02PM ET,boxscore,W,,06-May,,Tennessee Titans,20,0,24,346,158,188,0,9,162,138,24,3,2.7,19.54,-3.35
13,Thu,12/02/2010,8:30PM ET,boxscore,L,,07-May,@,Philadelphia Eagles,24,34,27,431,323,108,2,22,416,301,115,1,9.77,-19.01,0.72
14,Mon,12/13/2010,8:40PM ET,boxscore,L,OT,08-May,,Baltimore Ravens,28,34,28,489,378,111,2,19,253,190,63,0,10.05,-5.21,-13.44
15,Sun,12/19/2010,1:02PM ET,boxscore,L,,09-May,@,Tennessee Titans,17,31,26,323,293,30,1,19,359,212,147,1,-0.51,-14.68,-0.5
16,Sun,12/26/2010,4:06PM ET,boxscore,L,,10-May,@,Denver Broncos,23,24,21,401,310,91,1,25,431,305,126,1,9.19,-14.14,4.78
17,Sun,01/02/2010,4:15PM ET,boxscore,W,,10-Jun,,Jacksonville Jaguars,34,17,22,497,253,244,0,23,322,124,198,2,22.44,-6.01,-0.28
