,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,9/12/2021,1:00PM ET,boxscore,W,,1-0,,Jacksonville Jaguars,37,21,22,449,289,160,0,20,395,319,76,3,14.76,1.54,-0.16
2,Sun,9/19/2021,1:00PM ET,boxscore,L,,1-1,@,Cleveland Browns,21,31,17,302,220,82,2,22,355,199,156,2,9.61,-8.22,-8.62
3,Thu,9/23/2021,8:20PM ET,boxscore,L,,1-2,,Carolina Panthers,9,24,14,193,151,42,0,28,407,290,117,0,-5.6,-14.35,5.17
4,Sun,10/3/2021,1:00PM ET,boxscore,L,,1-3,@,Buffalo Bills,0,40,6,109,61,48,5,26,450,251,199,1,-32.68,-14.54,6.4
5,Sun,10/10/2021,1:00PM ET,boxscore,L,,1-4,,New England Patriots,22,25,14,360,293,67,1,21,352,226,126,2,13.76,-6.89,-8.6
6,Sun,10/17/2021,1:00PM ET,boxscore,L,,1-5,@,Indianapolis Colts,3,31,19,353,229,124,3,15,388,214,174,0,-9.92,-17.25,0.25
7,Sun,10/24/2021,4:25PM ET,boxscore,L,,1-6,@,Arizona Cardinals,5,31,8,160,118,42,1,24,397,225,172,1,-23.71,-13.37,10.47
8,Sun,10/31/2021,1:00PM ET,boxscore,L,,1-7,,Los Angeles Rams,22,38,18,323,279,44,1,26,467,302,165,0,1.75,-22.2,8.01
9,Sun,11/7/2021,1:00PM ET,boxscore,L,,1-8,@,Miami Dolphins,9,17,14,272,199,73,4,22,262,215,47,5,-19.43,8.14,4.21
10,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
11,Sun,11/21/2021,1:00PM ET,boxscore,W,,2-8,@,Tennessee Titans,22,13,15,190,107,83,,26,420,317,103,5,-10.9,6.86,10.33
12,Sun,11/28/2021,1:00PM ET,boxscore,L,,2-9,,New York Jets,14,21,13,202,106,96,1,18,266,109,157,1,-9.28,2.68,1.61
13,Sun,12/5/2021,1:00PM ET,boxscore,L,,2-10,,Indianapolis Colts,0,31,9,141,57,84,2,26,389,151,238,1,-28.83,-12.97,9.16
14,Sun,12/12/2021,1:00PM ET,boxscore,L,,2-11,,Seattle Seahawks,13,33,25,380,317,63,0,20,453,260,193,0,-2.6,-21.71,9.75
15,Sun,12/19/2021,1:00PM ET,boxscore,W,,3-11,@,Jacksonville Jaguars,30,16,13,281,206,75,1,21,296,189,107,0,-0.77,1.9,10.61
16,Sun,12/26/2021,1:00PM ET,boxscore,W,,4-11,,Los Angeles Chargers,41,29,26,437,248,189,0,25,417,328,89,3,24.35,-5.49,-2.75
17,Sun,1/2/2021,4:05PM ET,boxscore,L,,4-12,@,San Francisco 49ers,7,23,15,222,136,86,1,19,416,241,175,1,-7.88,-5.7,-0.16
18,Sun,1/9/2021,1:00PM ET,boxscore,L,,4-13,,Tennessee Titans,25,28,18,353,289,64,0,23,405,281,124,0,13.08,-21.6,1.97
