,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,09/07/2008,1:02PM ET,boxscore,L,,0-1,@,Pittsburgh Steelers,17,38,20,234,159,75,3,21,305,122,183,1,-10.38,-9.75,-0.26
2,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
3,Sun,09/21/2008,1:02PM ET,boxscore,L,,0-2,@,Tennessee Titans,12,31,18,317,171,146,3,19,343,185,158,2,-17.64,-0.74,2.01
4,Sun,09/28/2008,1:02PM ET,boxscore,L,OT,0-3,@,Jacksonville Jaguars,27,30,23,386,307,79,0,21,375,236,139,0,20.98,-18.99,-4.39
5,Sun,10/05/2008,1:02PM ET,boxscore,L,,0-4,,Indianapolis Colts,27,31,23,391,235,156,3,18,314,235,79,1,3.45,-8.22,3.76
6,Sun,10/12/2008,1:02PM ET,boxscore,W,,04-Jan,,Miami Dolphins,29,28,23,485,371,114,4,14,370,274,96,1,6.36,-12.9,4.86
7,Sun,10/19/2008,4:05PM ET,boxscore,W,,04-Feb,,Detroit Lions,28,21,29,404,254,150,1,15,326,249,77,0,19.46,-10.71,-5.84
8,Sun,10/26/2008,3:47PM ET,boxscore,W,,04-Mar,,Cincinnati Bengals,35,6,23,384,275,109,0,16,253,148,105,3,23.54,4.62,1.91
9,Sun,11/02/2008,1:05PM ET,boxscore,L,,05-Mar,@,Minnesota Vikings,21,28,20,389,327,62,3,15,345,168,177,1,-0.32,-3.67,-6.03
10,Sun,11/09/2008,1:02PM ET,boxscore,L,,06-Mar,,Baltimore Ravens,13,41,19,355,280,75,4,27,328,171,157,0,-10.1,-16.43,-0.79
11,Sun,11/16/2008,1:02PM ET,boxscore,L,,07-Mar,@,Indianapolis Colts,27,33,16,356,179,177,1,30,474,320,154,0,15.74,-23.46,1.94
12,Sun,11/23/2008,1:03PM ET,boxscore,W,,07-Apr,@,Cleveland Browns,16,6,19,383,271,112,2,15,240,145,95,5,-1.3,19.59,-3.33
13,Mon,12/01/2008,8:40PM ET,boxscore,W,,07-May,,Jacksonville Jaguars,30,17,18,326,200,126,1,21,388,262,126,3,0.67,5.59,8.31
14,Sun,12/07/2008,1:02PM ET,boxscore,W,,07-Jun,@,Green Bay Packers,24,21,25,549,408,141,4,16,387,279,108,1,12.16,-5.43,-3.79
15,Sun,12/14/2008,1:05PM ET,boxscore,W,,07-Jul,,Tennessee Titans,13,12,22,375,268,107,1,14,281,181,100,2,1.04,7.17,-5.65
16,Sun,12/21/2008,4:05PM ET,boxscore,L,,08-Jul,@,Oakland Raiders,16,27,17,324,234,90,1,17,362,223,139,1,-4.54,-0.95,-6.42
17,Sun,12/28/2008,1:03PM ET,boxscore,W,,08-Aug,,Chicago Bears,31,24,25,455,328,127,1,21,294,225,69,1,13.87,-8.92,2.26
